V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,4,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,4,4,4,4,0,0,0,0,0,0,1,1,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,3,0,4,3,1,1,0,0,0,0,1,1,1,2,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,3,5,4,1,1,1,0,1,1,0,1,1,2,4,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
19,5,3,4,0,0,0,1,1,2,2,0,1,1,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,1,0,1,4,4,2,0,0,0,0,1,1,3,3,2,1,0,0,0,0,0
20,5,4,4,3,1,0,1,1,0,1,0,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,13,2,2,3,3,5,7,2,2,4,4,0,2,1,4,1,1,0,0,0,0,0
21,5,4,5,4,1,0,0,0,3,3,0,1,1,2,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,12,2,1,11,10,10,2,9,7,8,7,4,2,3,3,3,3,4,0,0,0,0
22,5,4,4,4,1,1,1,1,4,4,0,2,2,2,5,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,3,3,10,7,11,10,8,3,4,7,4,3,5,3,3,2,6,5,4,5,4
23,3,4,3,3,1,1,2,3,5,5,0,5,3,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,14,12,10,11,10,10,11,10,3,4,3,4,4,4,4,2,2,4,4,2,4,5,2
24,5,5,4,4,2,2,1,1,4,5,0,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,6,7,7,5,8,10,9,7,10,10,1,1,2,1,3,1,1,0,1,4,5,2,3,3,3,1,0
25,6,7,12,3,1,0,0,2,6,4,0,5,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,4,7,4,3,3,4,2,0,0,0,0,0,0,0,1,1,1,1,2,4,1,3,2,0,1
26,7,9,12,3,3,1,0,1,6,3,0,5,4,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,3,5,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
