V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,3,3,3,2,4,4,12,8,7,8,4,6,8,11,16,11,9,5,8,8,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,2,3,4,6,11,11,9,10,8,6,5,8,13,11,16,15,9,5,8,9,7,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,2,2,3,3,3,3,3,11,14,10,9,12,5,8,8,10,8,7,9,8,12,12,10,8,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,3,3,4,6,3,12,11,9,10,11,12,9,8,9,9,9,10,10,12,16,10,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,4,6,4,6,8,7,7,9,10,16,9,4,5,7,9,6,9,13,11,8,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,4,5,4,3,5,9,12,12,8,5,4,5,6,5,5,4,4,6,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0
17,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,4,5,5,3,6,5,8,6,7,5,5,5,6,7,4,4,3,4,4,5,5,3,1,0,0,0,0,0,0,0,0,0,0
18,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,3,2,5,4,4,4,5,7,8,3,6,6,5,7,6,5,3,3,4,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2,2,3,4,4,4,6,6,5,8,8,9,7,6,6,7,9,8,8,7,5,2,1,1,2,2,4,3,2,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,5,6,4,5,7,7,7,8,7,6,4,6,5,4,5,6,4,4,4,3,7,8,5,2,3,2,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,6,3,3,7,6,4,5,5,4,6,5,3,3,3,3,2,4,6,6,5,3,3,4,0,1,1,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,3,8,6,4,4,5,3,4,5,5,4,1,2,3,4,3,2,6,4,4,4,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,6,4,4,5,3,3,2,4,4,4,3,3,4,1,1,1,3,4,5,5,2,0,1,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,5,3,2,3,5,4,3,2,3,2,3,2,4,3,1,2,2,2,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,5,4,5,3,4,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,1,2,1,2,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
